,no,lat,lng,cluster,order
177,178,3.058944,101.670025,5,0
178,179,3.173392,101.658649,2,0
179,180,3.136189,101.751708,7,0
180,181,3.134168,101.752145,7,0
181,182,3.170098,101.657538,2,0
182,183,3.132229,101.744964,7,0
183,184,3.138682,101.707329,13,0
184,185,3.129815,101.754825,7,0
185,186,3.153032,101.71458,9,0
186,187,3.056163,101.670183,5,0
187,188,3.132307,101.72078,13,0
188,189,3.123343,101.671612,10,0
189,190,3.127686,101.677515,10,0
190,191,3.171182,101.696457,0,0
191,192,3.156158,101.710743,9,0
192,193,3.075406,101.677898,12,0
193,194,3.128434,101.670078,15,0
194,195,3.128434,101.670078,10,0
195,196,3.127774,101.68019,10,0
196,197,3.138478,101.659756,15,0
197,198,3.138478,101.659756,15,0
198,199,3.16296,101.717045,9,0
199,200,3.136306,101.675713,15,0
200,201,3.146148,101.710151,9,0
201,202,3.169135,101.655629,2,0
202,203,3.130495,101.668145,15,0
203,204,3.133666,101.665968,15,0
204,205,3.125818,101.67532,10,0
205,206,3.158792,101.717305,9,0
206,207,3.152583,101.737466,3,0
207,208,3.164602,101.658288,2,0
208,209,3.13536,101.74014,7,0
209,210,3.065354,101.652005,1,0
210,211,3.100699,101.676317,14,0
211,212,3.134903,101.727168,13,0
212,213,3.133807,101.67507,10,0
213,214,3.06448,101.665882,1,0
214,215,3.134903,101.727168,13,0
215,216,3.069043,101.698479,8,0
216,217,3.137056,101.657843,15,0
217,218,3.104931,101.677124,14,0
218,219,3.109545,101.662708,4,0
219,220,3.161204,101.645275,11,0
220,221,3.105678,101.694635,6,0
221,222,3.121236,101.667029,10,0
222,223,3.122262,101.670143,10,0
223,224,3.097467,101.679169,6,0
224,225,3.14139,101.743775,7,0
225,226,3.171182,101.696457,0,0
226,227,3.14484,101.665991,15,0
227,228,3.131783,101.667529,15,0
228,229,3.168135,101.642516,11,0
229,230,3.143141,101.653041,15,0
230,231,3.139909,101.738282,3,0
231,232,3.173392,101.658649,2,0
232,233,3.053626,101.676376,5,0
233,234,3.072031,101.688235,8,0
234,235,3.118164,101.682265,10,0
235,236,3.16815,101.652654,11,0
236,237,3.132565,101.706784,13,0
237,238,3.162674,101.695914,0,0
238,239,3.172067,101.663161,2,0
239,240,3.118194,101.713453,13,0
240,241,3.149417,101.737107,3,0
241,242,3.110294,101.677712,14,0
242,243,3.076408,101.684851,8,0
243,244,3.139055,101.658859,15,0
