,Unnamed: 0,no,lat,lng,cluster,order
0,0,1,3.108459,101.671521,14,1
1,1,2,3.166217,101.64277,11,1
2,2,3,3.05843,101.67498,5,1
3,3,4,3.146544,101.706784,13,1
4,4,5,3.072845,101.700153,8,1
5,5,6,3.152029,101.738007,3,1
6,6,7,3.152173,101.712648,9,1
7,7,8,3.151061,101.663871,15,1
8,8,9,3.083242,101.67733,12,1
9,9,10,3.141341,101.663463,15,2
10,10,11,3.105678,101.694635,6,1
11,11,12,3.064236,101.664215,1,1
12,12,13,3.121171,101.717927,13,2
13,13,14,3.067502,101.692019,8,2
14,14,15,3.065109,101.646264,1,2
15,15,16,3.052501,101.67963,5,2
16,16,17,3.083912,101.661227,12,2
17,17,18,3.061046,101.677518,5,3
18,18,19,3.130041,101.750234,7,1
19,19,20,3.127796,101.750368,7,2
20,20,21,3.097377,101.682947,6,2
21,21,22,3.059759,101.711576,8,3
22,22,23,3.113464,101.664441,4,1
23,23,24,3.166831,101.703221,0,1
24,24,25,3.130771,101.74995,7,3
25,25,26,3.079034,101.686231,8,4
26,26,27,3.09524,101.674533,6,3
27,27,28,3.147968,101.742444,3,2
28,28,29,3.083465,101.668318,12,3
29,29,30,3.166831,101.703221,0,2
30,30,31,3.064137,101.705314,8,5
31,31,32,3.05529,101.668951,5,4
32,32,33,3.059871,101.673234,5,5
33,33,34,3.066191,101.690774,8,6
34,34,35,3.149281,101.735996,3,3
35,35,36,3.108877,101.670076,14,2
36,36,37,3.067579,101.668615,1,3
37,37,38,3.091358,101.690905,6,4
38,38,39,3.096117,101.685107,6,5
39,39,40,3.053626,101.676376,5,6
40,40,41,3.094978,101.674041,6,6
41,41,42,3.130041,101.750234,7,4
42,42,43,3.106509,101.668296,4,2
43,43,44,3.084951,101.671428,12,4
44,44,45,3.148252,101.702792,10,1
45,45,46,3.095703,101.683532,6,7
46,46,47,3.133536,101.742809,7,5
47,47,48,3.05843,101.67498,5,7
48,48,49,3.104909,101.668287,4,3
49,49,50,3.065987,101.709171,8,7
50,50,51,3.126,101.72151,13,3
51,51,52,3.148161,101.737342,3,4
52,52,53,3.067579,101.668615,1,4
53,53,54,3.141141,101.737405,3,5
54,54,55,3.051348,101.687594,5,8
55,55,56,3.085869,101.674712,12,5
56,56,57,3.158705,101.713661,9,2
57,57,58,3.133195,101.707532,13,4
58,58,59,3.104958,101.668967,14,3
59,59,60,3.134903,101.727168,13,5
60,60,61,3.170908,101.697773,0,3
61,61,62,3.053154,101.717761,8,8
62,62,63,3.090859,101.670874,12,6
