no,lat,lng
233,3.053626,101.676376
234,3.072031,101.688235
235,3.118164,101.682265
236,3.16815,101.652654
237,3.132565,101.706784
238,3.162674,101.695914
239,3.172067,101.663161
240,3.118194,101.713453
241,3.149417,101.737107
242,3.110294,101.677712
243,3.076408,101.684851
244,3.139055,101.658859
245,3.141141,101.737405
246,3.082689,101.661855
247,3.146348,101.73362
248,3.082403,101.665805
249,3.156682,101.709233
250,3.164383,101.692761
251,3.148659,101.707035
252,3.099368,101.687098
253,3.162985,101.651516
254,3.091506,101.676887
255,3.091506,101.676887
256,3.091506,101.676887
257,3.158324,101.705323
258,3.115197,101.689642
259,3.102885,101.661958
260,3.091506,101.676887
261,3.063331,101.670035
262,3.091506,101.676887
263,3.066465,101.686803
264,3.148665,101.659223
265,3.159679,101.643997
266,3.104931,101.677124
267,3.104931,101.677124
268,3.104931,101.677124
269,3.169135,101.655629
270,3.081706,101.688023
271,3.152568,101.661538
272,3.139042,101.660873
273,3.104931,101.677124
274,3.06654,101.66884
275,3.135428,101.741466
276,3.126016,101.749129
277,3.10671,101.671171
278,3.149417,101.737107
279,3.149417,101.737107
280,3.052501,101.67963
281,3.156158,101.710743
282,3.164323,101.692679
283,3.124073,101.669556
284,3.12923,101.682179
285,3.142781,101.735731
286,3.133749,101.687513
287,3.150783,101.708697
288,3.122532,101.718994
289,3.152029,101.738007
290,3.075264,101.673589
291,3.141141,101.737405
292,3.129626,101.670946
293,3.104931,101.677124
294,3.075264,101.673589
295,3.051348,101.687594
296,3.095708,101.687775
297,3.075264,101.673589
298,3.075264,101.673589
299,3.052265,101.673254
300,3.075264,101.673589
301,3.108874,101.678099
302,3.170748,101.65937
303,3.168074,101.693663
304,3.065779,101.699786
305,3.056255,101.666065
306,3.070488,101.657498
307,3.050131,101.684352
308,3.100257,101.673939
309,3.072058,101.661818
310,3.124073,101.669556
311,3.153223,101.715675
312,3.101142,101.676271
313,3.171339,101.710138
314,3.170748,101.65937
315,3.16815,101.652654
316,3.06172,101.66564
317,3.084896,101.678511
318,3.169908,101.664587
319,3.105737,101.686426
320,3.070488,101.657498
321,3.170412,101.649556
322,3.168533,101.71008
323,3.070574,101.696883
324,3.143345,101.735319
325,3.16998,101.655299
326,3.159606,101.733452
327,3.076321,101.669054
328,3.160454,101.731562
329,3.141348,101.707819
330,3.087496,101.681113
331,3.140537,101.711333
332,3.150487,101.717816
333,3.149054,101.71136
334,3.054918,101.674904
335,3.07032,101.665642
336,3.152029,101.738007
337,3.07094,101.66898
338,3.137764,101.752314
339,3.167757,101.6507
340,3.116639,101.690171
341,3.10822,101.665804
342,3.063331,101.670035
343,3.158827,101.658699
344,3.167757,101.6507
345,3.128106,101.680327
346,3.148669,101.737736
347,3.154852,101.653131
348,3.10822,101.665804
349,3.052265,101.673254
350,3.110396,101.66912
351,3.143072,101.708871
352,3.136742,101.689507
353,3.148622,101.742732
354,3.122279,101.675241
355,3.152152,101.712924
356,3.131093,101.765283
357,3.130744,101.684002
358,3.113827,101.663025
359,3.151309,101.671659
360,3.137045,101.667295
361,3.065995,101.687046
362,3.06448,101.665882
363,3.129726,101.721456
364,3.054709,101.675338
365,3.16815,101.652654
366,3.16815,101.652654
367,3.051958,101.685723
368,3.103339,101.689317
369,3.156138,101.64741
370,3.145459,101.667414
371,3.163901,101.690729
372,3.097467,101.679169
373,3.097555,101.685312
374,3.148926,101.659717
375,3.113269,101.680346
376,3.097555,101.685312
377,3.066857,101.678691
378,3.114148,101.664304
379,3.10621,101.667215
380,3.105968,101.688336
381,3.104567,101.683669
382,3.058252,101.667842
383,3.137711,101.675862
384,3.173392,101.658649
385,3.165658,101.64879
386,3.151204,101.71713
387,3.152029,101.738007
388,3.16322,101.70329
389,3.163314,101.655578
390,3.129303,101.747355
391,3.068022,101.682931
392,3.155803,101.651271
393,3.169135,101.655629
394,3.169135,101.655629
395,3.14537,101.668919
396,3.082339,101.674759
397,3.080104,101.666065
398,3.168135,101.642516
399,3.140724,101.740587
400,3.08483,101.673343
401,3.168563,101.644292
402,3.113464,101.664441
403,3.169541,101.647145
404,3.160264,101.735356
405,3.100186,101.676689
406,3.135268,101.714648
407,3.1339,101.7491
408,3.126958,101.724616
409,3.135447,101.691983
410,3.167208,101.652198
411,3.172147,101.659048
412,3.171859,101.702715
413,3.169135,101.655629
414,3.07094,101.66898
415,3.16391,101.65667
416,3.165576,101.704053
417,3.110972,101.666171
418,3.169135,101.655629
419,3.173597,101.653073
420,3.169135,101.655629
421,3.169135,101.655629
422,3.161249,101.697644
423,3.123991,101.713241
424,3.105468,101.663778
425,3.164672,101.659074
426,3.168533,101.71008
427,3.106034,101.662776
428,3.068054,101.694821
429,3.103632,101.665248
430,3.141141,101.737405
431,3.142851,101.664239
432,3.164042,101.689241
433,3.107491,101.662269
434,3.162041,101.649089
435,3.134188,101.675044
436,3.067274,101.693249
437,3.084864,101.673843
438,3.063748,101.66953
439,3.144253,101.654361
440,3.170099,101.649457
441,3.168343,101.648353
442,3.105468,101.663778
443,3.154836,101.650006
444,3.160747,101.714674
445,3.131577,101.759082
446,3.068104,101.713621
447,3.108874,101.678099
448,3.157467,101.698817
449,3.110972,101.666171
450,3.124467,101.714256
451,3.168135,101.642516
452,3.156022,101.708522
453,3.121262,101.67622
